Place,City,Lat,Long,Description
SnowBay Waterpark,Jakarta,-6.2992718,106.89151,"Waterpark which presents an imaginative vehicle with the concept of snowy mountains.Do not miss the best water attraction that is very pleasant.With an area of about 3 hectares, this tourist spot provides the best water games.Nothing wrong if this water park is in demand and packed by visitors, especially during the holiday season.Visitors can enjoy the excitement of various water attractions with artistic views that cover 70% of the area with snow.Visitors can feel the fatigue and fatigue reduced just by watching the atmosphere of this exotic snow.Visitors will be welcomed with world -class water recreation with an adventure concept that will be amazed.Presenting various exciting activities that can be enjoyed by the whole family of all ages.Not only water games, there are also rides that challenge adrenaline, suitable for those who want to release stress."
Taman Cattleya,Jakarta,-6.1810843,106.7954476,"The presence of Cattleya Park is of course very beneficial for the capital city of the Capital City, amidst the fatigue situation of traffic jams, piles of work, and pollution that is a threat to big cities.The location of the Cattleya Park is very strategic for those of you who are confused looking for the right place on weekends.The location of Cattleya Park is near a very famous shopping center, the Taman Anggrek Mall."
Taman Hutan Tebet,Jakarta,-6.2371409,106.8526505,"Tebet Park was built in 1960, this park was delayed in 1970 and became a wild settlement until 2006. In the past, the name was Taman Honda.Not without reason, so named because the restoration of this park was carried out in collaboration with PT Honda Prospect Motor and the Provincial Government of DKI Jakarta.The 1,800 m2 park was inaugurated by the Governor of DKI Jakarta (at that time) Fauzi Bowo on July 28, 2010. It is a green open space that can be utilized by Jakarta residents to move.Located between Jalan Tebet Barat Raya and Tebet Timur Raya Road, Tebet District, Municipality of South Jakarta.The park area has tributaries flowing from the direction of PasarMinggu to Manggarai.Tebet Park is also equipped with a number of facilities, such as playgrounds for children and exercise places.For the sports arena itself, there are badminton and jogging tracks.The park treated by the officer also provides prayer rooms, bathrooms, gazebos, and reflexology therapy facilities."
Hutan Kota Srengseng,Jakarta,-6.2106945,106.7643954,"In addition to the Mangrove Forest Park and Pantai Indah Kapuk, one of the parks that are well known for a long time can be found around the University of Indonesia Depok, located on the outskirts of Jakarta, called Srengseng City Forest.As the name implies, this tourist area is located in the Srengseng Kembangan Jakbar area, located close to the Kemayoran area, Kebon Jeruk and Rawa Crocodile.This Srengseng forest has become one of the natural areas of Hijua that can be found in the Special Capital Region of Jakarta.But keep in mind not Srengseng Sawah, yes, it's different.The presence of this city park gives an important role in the natural sector of Jakarta which is experiencing quite rapid development."
Taman Spathodea,Jakarta,-6.3226133,106.8241871,"The Taman Spathodea Tourism Object in Jagakarsa DKI Jakarta Selatan Jakarta is one of the tourist attractions located on Jl.Kebagusan Raya, Jagakarsa District, South Jakarta City, Special Capital Region of Jakarta, Indonesia.The Spathodea Park Tourism Object in Jagakarsa DKI Jakarta Selatan Jakarta is a tourist spot that is crowded with tourists on weekdays and on vacation.The main attraction of the Spathodea Park has many types of plants planted both trees and flowers that adorn the park area.There is a small lake in the middle of the park will make visitors comfortable.Many public facilities are also available in Spathodea Park such as jogging paths, fish ponds, outdoor gym, playgrounds for children, toilets, large parking lots and quite comfortable seating.This Spathodea Park is only open starting at 05.00 - 18.00 WIB so if it starts the night the park will be closed to the public."
Plaza Indonesia,Jakarta,-6.1939259,106.8222158,"Plaza Indonesia was inaugurated in early 1990, consisting of four upper class shops with an area of 38,050 m2.This shopping center is located at the Hotel Indonesia Roundabout, precisely on the intermediary of Jalan M.H.Thamrin and Jalan Kebon Kacang Raya in the main business area of Jakarta. \ NPLAZA Indonesia is also equipped with a Grand Hyatt Jakarta hotel, a 28 -story five -star hotel that was officially opened in early 1990. The hotel has more than 300 rooms with a minimalist modern design,Exclusive restaurants, and very complete facilities. \ NPEGING PLAZA INDONESIA continued when Entertainment X'Nter was opened next to the existing building by aiming at the market share of young people.The two buildings are connected with a bridge surrounded by shops.Tbk)."
Mall Thamrin City,Jakarta,-6.1946096,106.817905,"Thamrin City or Thamrin City Mall is a large shopping center in Central Jakarta, which is located ± 150 meters from the Hotel Indonesia Roundabout and ± 300 meters from Tanah Abang Market, which is precisely located on Jl.Thamrin Boulevard (D/H Kebon Kacang Raya) with access to various directions, including from Jl.Thamrin, Jl.Teluk Betung, and from Jl.KH.Mas Mansyur"
Museum Satria Mandala,Jakarta,-6.2316985,106.8185425,"The Satria Mandala Museum is a historical museum of the Indonesian National Army Struggle located on Jalan Gatot Subroto, South Jakarta.The museum, which was inaugurated in 1972 by the former Indonesian president, Suharto was originally the home of one of the wives of former Indonesian president, Sukarno, namely his wife named Ratna Sari Dewi Soekarno.In this museum a variety of war equipment collections can be found in Indonesia, from past to modern times such as collections, missiles, torpedo, tanks, cannons and even helicopters and airplanes (one of which is a curean aircraft that was once flown by Marshal Air Marshal Agustinus Adisucipto).In addition, this museum also holds a variety of historical objects related to the TNI such as various heavy and light weapons, the attributes of the army, banner and symbols in the TNI environment.Besides that, this museum was also exhibited the stretcher used to carry the Commander of the Great Commander General Soedirman when he was guerrilla in a state of illness against the Dutch occupation in the 1940s.Together with the people crushing the DI/TII separatist hordes in West Java, Central Java, Aceh, South Kalimantan and South Sulawesi in the 1960s.Other facilities in the Satriamandala TNI Museum include Children's Reading Park, souvenir stalls, canteens and multipurpose buildings with a capacity of 600 seats."
Alive Museum Ancol,Jakarta,-6.1175344,106.857313,"The museum now does not only offer objects that are of historical and educative value.But it has been transformed into an exciting recreation vehicle with different photo objects.Like the Alive Museum in Ancol.Alive Museum displays various arts in the form of 3 -dimensional paintings.Where visitors can take pictures with a real background even if only from photos.And because of 3 dimensions, of course the photo will look real with the object."
Kawasan Kuliner BSM,Jakarta,-6.1842588,106.824033,"Unlike pecenongan, the BSM culinary area is open from 09:00 to 18:00.Located on Jalan M. H. Thamrin, Central Jakarta, the BSM culinary area is a favorite place to eat for local residents and travelers.The Jakarta culinary area presents stalls and stalls that are lined up in a special area.Visitors can walk along the narrow path between each stall to choose a dish.The BSM culinary area presents heavy dishes and snacks.Visitors can find meatballs, fried rice, various soto, padang rice, uduk rice, pecel, sete, warm, gado-gado, and so on.There are also various light dishes and cakes, such as potato donuts, fried mushrooms, fruit soup, fried potatoes, and various fried foods.Visitors can take the Trans Jakarta Corridor 1 bus (Blok M-Kota) to the Bank Indonesia stop, then cross the road near the Bank Mandiri Building.From there, the BSM culinary area is quite easy to find."
Taman Pintar Yogyakarta,Yogyakarta,-7.8006715,110.3676551,"Taman Pintar Yogyakarta (Javanese: Hanacaraka, ꦠꦩꦤ꧀ ꦥꦶꦤ꧀ꦠꦂ ꦔꦪꦺꦴꦒꦾꦏꦂꦠ, Taman Pintar Ngayogyakarta) is a tourist vehicle in the center of Yogyakarta, precisely on Jalan Panembahan Senopati No.1-3, Yogyakarta, in the Benteng Vredeburg area.This park combines recreational and education tourist attractions in one location.Taman Pintar has a playground as well as an educational tool which is divided into several zones.Direct access to the center of the former shopping center book also adds more value to the smart park.This recreation area is very good for children during development. \ Nbin this year Taman Pintar has become an alternative place to travel for the people of Yogyakarta and outside the city.spur children's imagination and their interest in technology.At this time there are 35 zones and 3,500 educational game props."
Keraton Yogyakarta,Yogyakarta,-7.8052845,110.3642031,"Ngayogyakarta Hadiningrat Palace or Yogyakarta Palace (Javanese: ꦏꦫꦠꦺꦴꦤ꧀ ꦔꦪꦺꦴꦒꦾꦏꦂꦠ ꦲꦢꦶꦤꦶꦔꦿꦠ꧀, Translit. Karaton Ngayogyakarta Hadiningrat) is the official palace of the Ngayogyakarta Hadiningrat Sultanate which is now located in the city of Yogyakarta.The palace was founded by Sri Sultan Hamengkubuwana I in 1755 as a Yogyakarta Palace/Palace which was just established due to the division of the Islamic Mataram with the Giyanti Agreement.This palace is a fraction of the Surakarta Hadiningrat Palace from Surakarta (Kingdom of Surakarta).So that the Mataram Dynasty was continued by 2 kingdoms namely the Sultanate of Yogyakarta and Surakarta's Communities.The total area of the Yogyakarta Palace reaches 184 hectares, which covers the entire area inside the Baluwarti Fortress, Lor Square, Kidul Square, Gapura Gladak, and the Yogyakarta Gedhe Mosque complex.While the area of Kedhaton (the core of the palace) reaches 13 hectares.Although the Sultanate of Yogyakarta officially became part of the Republic of Indonesia in 1945, the palace building complex is still functioning as the residence of the Sultan and its palace household which is still carrying out the tradition of the Sultanate today.This palace is now also one of the attractions in the city of Yogyakarta.Some Keraton complexes are museums that store various collections belonging to the Sultanate, including various gifts from European kings, replicas of the Keraton Heritage, and Gamelan.In terms of the building, this palace is one of the best examples of Javanese Palace architecture, has luxurious balairungs and a vast field and pavilion."
Sindu Kusuma Edupark (SKE),Yogyakarta,-7.7672973,110.3542486,"Sindu Kusuma Edupark (SKE) is a recreational destination located in Jogjakarta.In the seven hectares of the park area that was completed in 2014, there are a variety of rides, both playing rides and learning vehicles that can be enjoyed by all family members.The most famous vehicle of SKE is the Ferris wheel, which is a vehicle to play as well as the SKE icon itself.If Singapore has a Flyer as high as 165 meters, while Malaysia has an eye as high as 88 meters, and in Thailand there is asiatique as high as 60 meters, Indonesia has a chakra malling with a height of 48 meters.At the Southeast Asian level, this Ferris wheel must indeed be complacent sitting in sixth rank as the highest Ferris wheel, but at the national level, he sits in the first place."
Museum Benteng Vredeburg Yogyakarta,Yogyakarta,-7.8002016,110.3663044,"Vredeburg Benteng Museum (Javanese: ꦩꦸꦱꦶꦪꦸꦩ꧀ ꦧꦺꦠꦺꦁ ꦮ꦳ꦽꦢꦼꦧꦸꦂꦒ꧀, translit. Musiyum bètèng vredeburg is a fortress located in front of the Great Building and the Palace of the Sultanate of Yogyakarta. Now, this fort is a museum. In a number of buildings in this fort there are dioramas aboutIndonesian History."
De Mata Museum Jogja,Yogyakarta,-7.8163156,110.3871442,"De Mata Museum is one of the museums containing the most 3D paintings in the world.The number of paintings is around 120 and each painting has a concept with a background that looks like real.There are several sizes of paintings in the Museum de Mata from the usual size to reach 5 meters.There are several kinds of categories of paintings namely ornament, lanscape, sports, famous figures, superheroes, to circus paintings.This museum was established for people to spend a vacation by increasing knowledge.This museum offers many unique paintings, for example there is a painting where you can feel the excitement walking on a wooden bridge under which there is a steep cliff or struggle to extinguish the heat of the heat of the dragon's mouth, the painting looks as if it is real.All of that is found in the eye de eye with the results of effects that deceive the eye."
Kampung Wisata Taman Sari,Yogyakarta,-7.8100673,110.3594581,"Taman Sari Yogyakarta or Taman Sari Keraton Yogyakarta (Hanacaraka: ꦠꦩꦤ꧀ꦱꦫꦶꦔꦪꦺꦴꦒꦾꦏꦂꦡ ꦠꦩꦤ꧀ꦱꦫꦶꦔꦪꦺꦴꦒꦾꦏꦂꦡ, Tamansari Ngayogyakarta) is a former park or garden of the Ngayogyakarta Hadiningrat Palace Palace, which can be compared to the Bogor Botanical Gardens as the Bogor Palace Garden.This garden was built in the time of Sultan Hamengku Buwono I (HB I) in 1758-1765/9.Initially, the park which received the term ""The Fragrarant Garden"" has an area of more than 10 hectares with around 57 buildings in the form of buildings, bathing ponds, suspension bridges, water canals, and artificial lakes along with artificial islands and underwater hallway.The garden used effectively between 1765-1812 initially stretches from the southwest of the Kedhaton complex to the southeast of the Magangan complex.But now, the remnants of the Taman Sari section that can be seen are only in the southwest of the Kedhaton complex."
Situs Warungboto,Yogyakarta,-7.8102685,110.3931513,"The Warungboto Site or Rejawinangun Pesanggrahan is one of the cultural heritage buildings located at Jalan Veteran No.77, Warungboto Village, Umbulharjo District, Yogyakarta City, Yogyakarta Special Region.Initially, this site was the location of a pesanggrahan and bathing."
Nol Kilometer Jl.Malioboro,Yogyakarta,-7.8013803,110.3647652,"Although it is only an intersection, but the intersection of the 0 KM point is not an ordinary intersection.Because at this intersection you can say as the midpoint of the city of Jogja because of its really location in front of the Yogyakarta Palace as the founder of this special area.Moreover, next to the north is the center of Jogja tourist crowd, Jalan Malioboro, so if you are hanging out at the intersection of the zero kilometer point, it really feels the midpoint of Jogja that is so serene.Yogyakarta 0 kilometer point is indeed a favorite place for tourists to spend time, especially in the afternoon and evening which every day is always crowded with tourists who are just to hang out at the holder that is widely provided around the intersection."
Gembira Loka Zoo,Yogyakarta,-7.8062344,110.3967977,"The Gembira Loka Zoo is commonly called Gembira Loka Zoo (abbreviated GL Zoo, Javanese: ꦏꦼꦧꦺꦴꦤ꧀ ꦫꦗ ꦒꦼꦩ꧀ꦧꦶꦫ ꦭꦺꦴꦏ, Translit. Kêbon Raja Gêmbira Loka) is a zoo in the city of Yogyakarta.Contains a variety of species from parts of the world, such as orangutans, Asian elephants, chimpanzees, tigers, and so forth.Gembira Loka Zoo is a special attraction for Yogyakarta tourists.Happy Loka Zoo was badly damaged by the Yogyakarta earthquake in 2006. However, after renovating the Gembira Loka Zoo, the tourists were still sought."
Sumur Gumuling,Yogyakarta,-7.8087911,110.3591825,Gumuling well is one place for worship or religious activities in the past.Gumuling wells were mosques during the reign of Sri Sultan Hamengkubuwana I and II.
Desa Wisata Sungai Code Jogja Kota,Yogyakarta,-7.8229089,110.3756894,"Kampung Code is in Kotabaru Village, Gondokusuman District, Yogyakarta City.The exact location is in RT 01/RW 01 to the south of the Gondolayu Bridge on Jl Jenderal Sudirman or in the east of the Bantaran River Code which divides the city of Yogyakarta.Kampung Code is located right on the banks of Kali Code which extends to the south with the contour of the landing ground from top to bottom.At the top of the tight Jl Faridan M. Noto is mostly used by residents for service/buying and selling car tires.While at the bottom becomes a residential area.Kampung Code, which had been an ordinary village, was transformed into a work of art thanks to the services of an architect as well as a Catholic religious leader, Father YB Manguwijaya."
Alun Alun Selatan Yogyakarta,Yogyakarta,-7.8116719,110.363238,"South Square or now better known as the Kidul Square (Alkid), which is the square located south of Karaton Yogyakarta.This square is in the form of a sandy field, with an area of about 160m x 160 m.This square is surrounded by a brick wall fence as high as 2.20 m, the thickness of the wall fence is 30 cm, many have collapsed and damaged.The wall fence that can be witnessed now is the new wall fence, which was built by Sri Sultan Hamengkubuwono VII during his reign in 1877 -1921 AD"
Monumen Yogya Kembali,Yogyakarta,-7.7495904,110.3696068,"The Yogya Monument Museum returned (Javanese: ꦩꦺꦴꦤꦸꦩꦺꦤ꧀ ꦪꦺꦴꦒꦾ ꦏꦼꦩ꧀ꦧꦭꦶ, Translit. Monumèn Yogya returned) commonly known as Jogja Monument again abbreviated as Monjali is a historical museum of the Indonesian Independence Struggle in the Special Region of Yogyakarta and managed by the Ministry of Tourism and Creative Economy.The museum in the northern part of the city is visited by students in the Darmawisata event. \ N \ nmuseum monument with a cone shape consists of 3 floors and is equipped with a library room and multipurpose room.In the entrance shutter, 422 names of heroes who died in the Wehrkreise III (RIS) area between December 19, 1948 to June 29, 1949. In 4 Museum Rooms on the 1st Floor there are collection objects: Relief, Replica, Photos, Documents,Heraldika, various types of weapons, evocative forms of public kitchens in an atmosphere of independence war 1945-1949.The stretcher and dokar (horse -drawn carriage) that had been used by the Commander of the Great General Sudirman was also stored here (in the Museum Room Number 2).Yogya Monument is back located at Jl.Ring Road Utara, Sleman Regency, Special Region of Yogyakarta."
Taman Pelangi Yogyakarta,Yogyakarta,-7.7505259,110.3687049,"Yogyakarta Pelangi Park is a night tourist attraction that displays colorful lanterns, so it looks like a rainbow.This tourist park is located on Jalan Padjajaran (formerly the North Ring Road road), and is at the location of the Yogya Monument Museum (Jogja Returns) Yogyakarta.Pelangi Park has more than 20 types of games, 25 booths and drink stands.This rainbow park can be enjoyed from evening to night, or from 17.00 to 23.00.At night you will feel complete and perfect in the Pelangi Park with the many burning lanterns gives an interesting impression to calm the mind."
Kampung Wisata Kadipaten,Yogyakarta,-7.806093,110.35831,"The Kadipaten Tourism Village is in the area of Kadipaten Sub -District, Kraton District.Its existence also functions as a buffer for the Yogyakarta Sultanate Palace Tourism Object.In accordance with the potential of the Duchy Tourism Village then raised the theme ""Art and Heritage Turism"" as its brandinng.This tourist village area is very unique and specific because there are many buildings of the Busaya reserve site, especially the Dalem Prince building.The name of the Duchy itself is said to originate from the name of the area where there are many cultural heritage sites, especially the Dalem Prince building.The name of the Duchy is said to originate from the name of the region which is inhabited by many Kraton relatives who are at the same time as the Kraton."
Taman Budaya Yogyakarta,Yogyakarta,-7.8001041,110.3676579,"Yogyakarta Cultural Park (TBY) (Hanacaraka: ꦠꦩꦤ꧀ ꦧꦸꦢꦪ ꦔꦪꦺꦴꦒꦾꦏꦂꦠ, Javanese: Ngayogyakarta Cultural Park) is a tourist facility located at Jalan Sri Wedani No. 1, Yogyakarta.TBY has a building complex that functions as a place for exhibitions, performances, and various other art activities.TBY is a Technical Implementation Unit (UPTD) at the Yogyakarta Special Region Culture Office.The function of TBY is as a cultural center including the development and processing of the Center for Documentation, Showcase, and Information Arts Culture and Tourism."
Kampung Wisata Sosro Menduran,Yogyakarta,-7.79219,110.362151,"Sosrignian Tourism Village is a very unique tourist village because it is based on multi -culture, accommodation and shopping as well as functioning as a buffer for the Malioboro tourist attraction area.The regional tourism village Sosranduran is located in Sosrduran Village, Gedongtengen District.It is very strategic because it is beside the Malioboro area is also very close to the Tugu train station and there are many tourism facilities both hotels, homestays, stalls and restaurants, travel, money changers, coffee, car rentals, motorbikes and even bicycles and very interestingSosranduran tourism village there are also many souvenir t -shirts that are also widely sold along Malioboro roads"
Monumen Batik Yogyakarta,Yogyakarta,-7.8011159,110.3646172,"The attention of the government of the Batik culture is very large, this is because its culture is in direct contact with the Javanese people.Commemorating National Batik Day today, travelers can take a walk to the batik monument in Jogja.The attention of the government of the Batik culture is very large, this is because its culture is in direct contact with the Javanese people.Commemorating National Batik Day today, travelers can take a walk to the batik monument in Jogja."
Tugu Pal Putih Jogja,Yogyakarta,-7.7829437,110.3670548,"Tugu Yogyakarta (Java :, Tugu Ngayogyakarta) is an important historical landmark in the city of Yogyakarta, Indonesia.Tugu means the monument, which is usually built as a symbol of an area that conceptualizes the characteristics of the region.Because of its historical background, the Yogyakarta monument has become an icon of the history of the city.Yogyakarta Monument is located right in the middle of the intersection between Jalan Mangkubumi, Jalan Sudirman, Jalan A.M Sangaji, and Jalan Dipenogoro City."
Tebing Breksi,Yogyakarta,-7.7815714,110.5045827,"Tebing Breksi is a tourist spot in the Sleman Regency area.The location is south of Prambanan Temple and adjacent to the Ijo Temple and the Boko Palace Complex.Tebing Breksi tourism location is precisely in Sambirejo Village, Prambanan, Sleman Regency, Special Region of Yogyakarta 55572."
Candi Donotirto,Yogyakarta,-7.7955613,110.3612095,"Although attached to the word temple, Donotirto Temple is not a relic of the Hindu-Buddhist era in Yogyakarta.This place was built by the Dutch government.There are two parts, namely the western part for the Adam and the eastern part for women.Each is flowed by 5 water shower sourced from the Winogo River, meaning there are 10 showering there.Until now, this place is still being cared for by local residents even though it is used as a public toilet.Therefore, do not have a weight to set aside your money instead of the cost of maintenance and cleanliness of this place."
Kawasan Malioboro,Yogyakarta,-7.793167,110.3655238,"Jalan Malioboro is the name of one of the road areas from three roads in the city of Yogyakarta that stretches from Yogyakarta Tugu to the Yogyakarta Post Office intersection.Overall consists of Jalan Margo Utomo, Jalan Malioboro, and Jalan Margo Mulyo.This road is a shaft of the Yogyakarta Palace Imaginary Line."
Bangsal Pagelaran,Yogyakarta,-7.8052843,110.3642137,"The main building is a performance ward that was once known as Tratag Rambat.In his day the performance was a place where the Sultanate was facing the Sultan at the official ceremony.Now it is often used for tourism events, religious, and others in addition to the traditional ceremony of the palace.A pair of battle wards are located on the far side of the east and west of the Pagelaran.Formerly this place was used by the Sultan to watch war training in the Lor Square."
Embung Tambakboyo,Yogyakarta,-7.756227,110.4150131,"Tambakboyo reservoir or reservoir is a water conservation located in Tambakboyo Hamlet, Depok District, Sleman Regency, Yogyakarta.This reservoir utilizes water sources from the Tambak Bayan River and the Buntung River with an area of 7.8 ha.This reservoir was built from 2003 to 2008 and was inaugurated a year later."
Hutan Pinus Pengger,Yogyakarta,-7.8704832,110.4599108,"Pine forest Penggar (Javanese: ꦄꦭꦱ꧀ ꦥꦶꦤꦸꦱ꧀ ꦥꦼꦁ ꦒꦼꦂ ꦒꦼꦂ, translit. Pinus Pinus Pěnggěr) is one of the mainstay attractions of Bantul Regency.This nature tourism is located in Sendangsari, Terong Village, Kec.Dlingo, Bantul Regency, Special Region of Yogyakarta. \ Nhutan pine driver is easily accessible because it is located on the edge of Jalan Patuk-Dlingo KM 4.5.This place is still foreign because it was only officially opened on April 7, 2016. This pine forest is very popular with the creators of attractions, because this tourist attraction presents a very beautiful natural scenery."
Monumen Serangan Umum 1 Maret,Yogyakarta,-7.8010124,110.3653376,"March 1 General attack monument is in the area around the Vredeburg Fort Museum which is right in front of the Yogyakarta Post Office.This monument was built to commemorate the attack of the Indonesian army against the Dutch on March 1, 1949. At that time the Indonesian state was considered paralyzed and did not exist by the Dutch.To prove that the Indonesian state still exists, a massive attack was carried out.This attack was carried out by the Indonesian National Army (TNI) led by Lieutenant Colonel Soeharto, Commander of Brigade 10 Wehrkreise III."
Puncak Pinus Becici,Yogyakarta,-7.9020355,110.4374627,"Puncak Pinus Becici or Becici Puncak is a tourist attraction in Muntuk Village, Dlingo District, Bantul Regency, Yogyakarta.The scenery in this area is very beautiful with a large stretch of hills that are growing by pine trees and can see the charm of the city of Yogyakarta from a height with a viewing post.From the north can see Prambanan Temple, the southern part is seen a straight line which is the southern coast and can see Mount Merapi and Mount Sindoro."
Bukit Bintang Yogyakarta,Yogyakarta,-7.8458407,110.4798457,"Bukit Bintang is one of the favorite hangout locations in Yogyakarta.At nightfall, the view of Yogyakarta is very beautiful! Located on the border of Bantul and Gunungkidul, anyone who visits this area can enjoy a sprinkling of gemintang in the night sky and the lights of the city lights from a height.Enjoy the beauty of the night.Bukit Bintang became the perfect place to enjoy dusk until nightfall."
Gedung Agung Yogyakarta,Yogyakarta,-7.8001506,110.3637507,"Yogyakarta Palace, known as Gedung Agung (Javanese: ꦒꦼꦝꦺꦴꦁ ꦄꦒꦼꦁ, Translit. Gedhong Ageng) is located in the center of the city crowd, precisely at the southern tip of Ahmad Yani Street was once known as Jalan Margomulyo.The Palace area is located in Ngupasan Village, Gondomanan District, Yogyakarta City, and is at an altitude of 120 m above sea level.This palace complex occupies an area of 43,585 m²."
The Lost World Castle,Yogyakarta,-7.6041648,110.4510042,"The Lost World Castle is one of the attractions in the slopes of Mount Merapi located in Petung Hamlet, Kepuharjo Village, Sleman, Special Region of Yogyakarta, Indonesia.This tourist attraction was built like the Takeshi fort and was built on 1.3 hectares of land in 2016. Visitors who want to enter The Lost World Castle area will be charged a fee of Rp. 25,000 for each person and not including parking fees.The car parking fee is IDR 5,000, while the parking fee for motorbikes is IDR 2,000."
Monumen Sanapati,Yogyakarta,-7.7881728,110.3715403,"The Sanapati Monument was built to commemorate the 50 years of Indonesian coding in Yogyakarta.The coding in Yogyakarta has a big hand in maintaining the independence of the Indonesian state.Recorded in the general attack on March 1, 1949, Sandi made by Roebiono is still used to spread messages to the world that Indonesia still exists and can still fight.Furthermore, the event was known as the 6 -hour event in Yogyakarta.The Sanapati Monument is located in the Kotabaru area, precisely in the middle of the intersection of Jalan Abu Bakar Ali, in the front park of the Church of Santo Antonius.The Sanapati Monument building is a triangular -ended -shaped taper -like pyramid with a height of 3 meters and a width of 2.5 meters.The monument was designed by Drs Kasman and was inaugurated by the Minister of State Secretary of the Republic of Indonesia at that time, Moerdiono, on April 4, 1996, right on the day of the Indonesian Encouragement.Monument construction takes one month and costs 25 million rupiah."
Jurang Tembelan Kanigoro,Yogyakarta,-7.9401065,110.4300062,"The Tembelan Kanigoro cliff is in the Mangunan Tourism Village, Dlingo, Bantul.Familiar with Mangunan Village, right?This area does have a good cheap tourist attraction.Including the Kanigoro Temblan the abyss not far from the Mangunan Fruit Garden or Panguk Kediwung Hill.From Jogja, direct the vehicle to Jalan Imogiri Timur, after arriving at the T -junction near the Imogiri Market, follow the direction to Mangunan.To get there, first check the condition of the vehicle.The roads that go up and down and sharp turns must be watched out for.For those who use large vehicles such as buses, it is expected to turn through Bukit Bintang Gunung Kidul.In addition, always be careful and stay focused while driving."
The World Landmarks - Merapi Park Yogyakarta,Yogyakarta,-7.6209046,110.4216275,"Merapi Park is one of the tourist attractions in Yogyakarta located on Jalan Kaliurang Km 22, Hargobinangun, Pakem District, Sleman Regency.The operation of Merapi Park began on June 25, 2017. Available facilities include taking photos"
Museum Sonobudoyo Unit I,Yogyakarta,-7.8024499,110.3639555,"The Sonobudoyo Museum is a Museum and Library of Javanese History and Culture in Yogyakarta, Indonesia.This museum contains the most complete collection of Javanese artifacts, after the National Museum in Jakarta.In addition to the era of the neolithic era and the 8th century bronze statue, the museum also holds a collection of puppets, various ancient weapons (such as keris), and Javanese masks.The Sonobudoyo Museum consists of two units, Unit I is located at Jalan Trikora No.6 Yogyakarta, and Unit II are located in Ndalem Condrokiranan, Wijilan, east of the main (north) city square."
Lava Bantal,Yogyakarta,-7.8081518,110.4595183,"The DIY region offers a number of tourism potentials, especially river -based tourism.One of them is now one of the favorite tourists is a lava pillow in Berbah District, Sleman Regency.As the name implies, this tourist attraction offers rocks that are allegedly originating from incandescent lava from underwater volcanoes that dry up during the period hundreds of years ago.Longing on the Opak River, the rock is a unique sight that can seize the attention of travelers.It is said that the existence of pillow lava contributed greatly to the formation of Java.Natural phenomena such as what happens in this pillow lava is very rare.On the island of Java, similar phenomena can only be found in Karangsambung (Kebumen), Ciletuh (West Java), and in Berbah (DIY).With a long geological history background, since October 2, 2014 the government has established this tourist attraction as Geo Heritage.That is, all the geological uniqueness in the tourist attraction is classified as an object protected by the government."
Bukit Panguk Kediwung,Yogyakarta,-7.9583695,110.4407622,"Panguk Kediwung Hill is one of the attractions that offers natural scenery from a height.When compared with other hilly tourism objects in Bantul, Panguk Kediwung Hill is new because it was opened in 2016. But make no mistake, this location has stolen many visitors from inside and outside the city.Bukit Panguk Kediwung is located in Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta.Don't worry to get lost because along the road to the location we will see several sign boards.Approximately 20 km from the center of Yogyakarta.From the center of Yogyakarta you can move to the south precisely towards the East Imogiri Street, follow the road to find the Imogiri market, then turn left and continue the journey to Dlingo, from there you will start seeing the directions to the Panguk Kediwung Hill.The access road to Bukit Panguk Kediwung has been absorbed smoothly, but the contour is slightly up and down but still in the safe category.It is strongly recommended to use private vehicles because access to here using public transportation is quite difficult."
Candi Prambanan,Yogyakarta,-7.7520206,110.4914674,"Prambanan Temple or Roro Jonggrang Temple (Javanese: ꦕꦤ꧀ꦝꦶ ꦥꦿꦩ꧀ꦧꦤꦤ꧀, Translit. Candhi Prambanan) is the largest Hindu temple complex in Indonesia which was built in the 9th century AD.This temple is dedicated to Trimurti, three main Hindu gods namely Brahma as the creator god, Vishnu as the god preserver, and Shiva as a god of destruction.Based on the Siwagrha inscription, the original name of the temple complex is Siwagrha (Sanskrit which means 'Shiva House'), and indeed in the Garbagriha (main room) this temple resides the statue of Shiva Mahadewa as high as three meters which shows that in this temple Dewa Shiva is prioritized.Prambanan temple bathing as a whole is in the area of the Special Province of Yogyakarta, but the administrative door is in the Special Region of Surakarta (now part of Central Java Province), this is what makes Prambanan Temple located in 2 places namely in Bokoharjo Village, Prambanan District, Sleman Regency, and in Tlogo Village, Prambanan District, Klaten Regency, or approximately 17 kilometers northeast of Yogyakarta, 50 kilometers southwest of Surakarta and 120 kilometers south of Semarang, right on the border between the Special Region of Yogyakarta and the Special Region of Surakarta.The world of UNESCO, the largest Hindu temple in Indonesia, as well as one of the most beautiful temples in Southeast Asia.The architecture of this building is high and slim in accordance with Hindu architecture in general with the Siwa Temple as the main temple has a height of 47 meters soaring in the middle of a smaller group of temples.As one of the grandest temples in Southeast Asia, Prambanan Temple is the main attraction of tourist visits from all over the world. According to the Siwagrha inscription, this temple began to be built around 850 AD by Rakai Pikatan, and continues to be developed and expanded by Balitung Maha Sambu, at the kingdomMedang Mataram."
